Fecha,Local,Ubicación,Fecha Creación,Tipo Doc.,Tipo Línea,Familia,Cantidad,Precio,Dto. %,Dto. €,Cód. Promoción,Cód. Descuento,Impuesto %,Recargo %,Base,Total,Dto. € Ticket,Dto. % Ticket,tipo_plato,Producto,N_factura,centro_reparto
02/01/2019,BARCELONA (✔),G1,02/01/2019 14:02,Fra. Simp.,Producto,RICE BOWL,1000,895.0,0.0,0.0,,,1000.0,140.0,814,895,0.0,0.0,Arroz,Arroz 28,Establ3/4736,centro_2
02/01/2019,BARCELONA (✔),G1,02/01/2019 14:02,Fra. Simp.,Producto,EXTRAS,1000,300.0,0.0,0.0,,,1000.0,140.0,273,300,0.0,0.0,Extra,Extra 15,Establ3/4736,centro_2
02/01/2019,BARCELONA (✔),MG1,02/01/2019 14:04,Fra. Simp.,Producto,RICE BOWL,1000,895.0,0.0,0.0,,,1000.0,140.0,814,895,0.0,0.0,Arroz,Arroz 28,Establ3/4737,centro_2
02/01/2019,BARCELONA (✔),MG1,02/01/2019 14:04,Fra. Simp.,Producto,NOODLES,1000,1050.0,0.0,0.0,,,1000.0,140.0,955,1050,0.0,0.0,Noodles,Noodles 10,Establ3/4737,centro_2
02/01/2019,BARCELONA (✔),MG1,02/01/2019 14:09,Fra. Simp.,Producto,NOODLES,1000,1050.0,0.0,0.0,,,1000.0,140.0,955,1050,0.0,0.0,Noodles,Noodles 10,Establ3/4738,centro_2
02/01/2019,BARCELONA (✔),MG1,02/01/2019 14:43,Fra. Simp.,Producto,RICE BOWL,1000,895.0,0.0,0.0,,,1000.0,140.0,814,895,0.0,0.0,Arroz,Arroz 28,Establ3/4739,centro_2
02/01/2019,BARCELONA (✔),MG1,02/01/2019 14:43,Fra. Simp.,Producto,EXTRAS,1000,300.0,0.0,0.0,,,1000.0,140.0,273,300,0.0,0.0,Extra,Extra 7,Establ3/4739,centro_2
02/01/2019,BARCELONA (✔),G1,02/01/2019 14:50,Fra. Simp.,Producto,NOODLES,1000,1050.0,0.0,0.0,,,1000.0,140.0,955,1050,0.0,0.0,Noodles,Noodles 10,Establ3/4740,centro_2
02/01/2019,BARCELONA (✔),G1,02/01/2019 14:50,Fra. Simp.,Producto,COMPRA,1000,75.0,0.0,0.0,,,1000.0,140.0,068,075,0.0,0.0,Extra,Extra 17,Establ3/4740,centro_2
02/01/2019,BARCELONA (✔),G1,02/01/2019 14:50,Fra. Simp.,Producto,AGUAS Y REFRESCOS,1000,150.0,0.0,0.0,,,1000.0,140.0,136,150,0.0,0.0,Bebida,Bebida 42,Establ3/4740,centro_2
02/01/2019,BARCELONA (✔),G1,02/01/2019 14:50,Fra. Simp.,Producto,STARTERS,1000,695.0,0.0,0.0,,,1000.0,140.0,632,695,0.0,0.0,Entrante,Entrante 7,Establ3/4740,centro_2
02/01/2019,BARCELONA (✔),MG1,02/01/2019 21:09,Fra. Simp.,Producto,RICE BOWL,1000,895.0,0.0,0.0,,,1000.0,140.0,814,895,0.0,0.0,Arroz,Arroz 28,Establ3/4741,centro_2
02/01/2019,BARCELONA (✔),G1,02/01/2019 21:20,Fra. Simp.,Producto,STARTERS,1000,695.0,0.0,0.0,,,1000.0,140.0,632,695,0.0,0.0,Entrante,Entrante 7,Establ3/4742,centro_2
02/01/2019,BARCELONA (✔),G1,02/01/2019 21:21,Fra. Simp.,Producto,RICE BOWL,1000,1050.0,0.0,0.0,,,1000.0,140.0,955,1050,0.0,0.0,Arroz,Arroz 20,Establ3/4743,centro_2
02/01/2019,BARCELONA (✔),G1,02/01/2019 21:21,Fra. Simp.,Producto,COMPRA,1000,75.0,0.0,0.0,,,1000.0,140.0,068,075,0.0,0.0,Extra,Extra 17,Establ3/4743,centro_2
02/01/2019,BARCELONA (✔),G1,02/01/2019 21:21,Fra. Simp.,Producto,SOUP,1000,990.0,0.0,0.0,,,1000.0,140.0,900,990,0.0,0.0,Sopa,Sopa 14,Establ3/4743,centro_2
02/01/2019,BARCELONA (✔),G1,02/01/2019 21:21,Fra. Simp.,Producto,STARTERS,1000,695.0,0.0,0.0,,,1000.0,140.0,632,695,0.0,0.0,Entrante,Entrante 9,Establ3/4743,centro_2
02/01/2019,BARCELONA (✔),MG1,02/01/2019 21:22,Fra. Simp.,Producto,NOODLES,1000,1050.0,0.0,0.0,,,1000.0,140.0,955,1050,0.0,0.0,Noodles,Noodles 12,Establ3/4744,centro_2
