Fecha,Local,Ubicación,Fecha Creación,Tipo Doc.,Tipo Línea,Familia,Cantidad,Precio,Dto. %,Dto. €,Cód. Promoción,Cód. Descuento,Impuesto %,Recargo %,Base,Total,Dto. € Ticket,Dto. % Ticket,tipo_plato,Producto,N_factura,centro_reparto
26/01/2019,LAS TABLAS (✔),U1,26/01/2019 20:20,Fra. Simp.,Producto,BAOS,1000,795.0,0.0,0.0,,,1000.0,140.0,723,795,0.0,0.0,Entrante,Entrante 2,Establ5/114,centro_3
26/01/2019,LAS TABLAS (✔),U1,26/01/2019 20:20,Fra. Simp.,Producto,NOODLES,1000,995.0,0.0,0.0,,,1000.0,140.0,905,995,0.0,0.0,Noodles,Noodles 10,Establ5/114,centro_3
26/01/2019,LAS TABLAS (✔),U1,26/01/2019 20:20,Fra. Simp.,Producto,SOUP,1000,1350.0,0.0,0.0,,,1000.0,140.0,1227,1350,0.0,0.0,Sopa,Sopa 3,Establ5/114,centro_3
26/01/2019,LAS TABLAS (✔),U1,26/01/2019 20:20,Fra. Simp.,Producto,BBQ,1000,1250.0,0.0,0.0,,,1000.0,140.0,1136,1250,0.0,0.0,Segundo Plato,Segundo Plato 2,Establ5/114,centro_3
26/01/2019,LAS TABLAS (✔),U1,26/01/2019 21:41,Fra. Simp.,Producto,NOODLES,1000,1350.0,0.0,0.0,,,1000.0,140.0,1227,1350,0.0,0.0,Noodles,Noodles 8,Establ5/115,centro_3
26/01/2019,LAS TABLAS (✔),U1,26/01/2019 21:41,Fra. Simp.,Producto,BBQ,1000,1250.0,0.0,0.0,,,1000.0,140.0,1136,1250,0.0,0.0,Segundo Plato,Segundo Plato 3,Establ5/115,centro_3
26/01/2019,LAS TABLAS (✔),U1,26/01/2019 21:41,Fra. Simp.,Producto,CERVEZAS,1000,250.0,0.0,0.0,,,1000.0,140.0,227,250,0.0,0.0,Bebida,Bebida 113,Establ5/115,centro_3
26/01/2019,LAS TABLAS (✔),U1,26/01/2019 21:41,Fra. Simp.,Producto,BAOS,1000,795.0,0.0,0.0,,,1000.0,140.0,723,795,0.0,0.0,Entrante,Entrante 2,Establ5/115,centro_3
26/01/2019,LAS TABLAS (✔),U1,26/01/2019 21:46,Fra. Simp.,Producto,RICE BOWL,1000,795.0,0.0,0.0,,,1000.0,140.0,723,795,0.0,0.0,Arroz,Arroz 28,Establ5/116,centro_3
26/01/2019,LAS TABLAS (✔),U1,26/01/2019 21:46,Fra. Simp.,Producto,BAOS,2000,795.0,0.0,0.0,,,1000.0,140.0,1445,1590,0.0,0.0,Entrante,Entrante 2,Establ5/116,centro_3
26/01/2019,LAS TABLAS (✔),U1,26/01/2019 21:46,Fra. Simp.,Producto,NOODLES,1000,995.0,0.0,0.0,,,1000.0,140.0,905,995,0.0,0.0,Noodles,Noodles 12,Establ5/116,centro_3
27/01/2019,LAS TABLAS (✔),U1,27/01/2019 20:16,Fra. Simp.,Producto,CERVEZAS,1000,150.0,0.0,0.0,,,1000.0,140.0,136,150,0.0,0.0,Bebida,Bebida 93,Establ5/117,centro_3
27/01/2019,LAS TABLAS (✔),U1,27/01/2019 20:16,Fra. Simp.,Producto,NOODLES,2000,995.0,0.0,0.0,,,1000.0,140.0,1809,1990,0.0,0.0,Noodles,Noodles 10,Establ5/117,centro_3
27/01/2019,LAS TABLAS (✔),U1,27/01/2019 20:16,Fra. Simp.,Producto,EXTRAS,1000,300.0,0.0,0.0,,,1000.0,140.0,273,300,0.0,0.0,Extra,Extra 7,Establ5/117,centro_3
27/01/2019,LAS TABLAS (✔),U1,27/01/2019 20:16,Fra. Simp.,Producto,COMPRA,2000,75.0,0.0,0.0,,,1000.0,140.0,136,150,0.0,0.0,Noodles,Noodles 18,Establ5/117,centro_3
