Fecha,Local,Ubicación,Fecha Creación,Tipo Doc.,Tipo Línea,Familia,Cantidad,Precio,Dto. %,Dto. €,Cód. Promoción,Cód. Descuento,Impuesto %,Recargo %,Base,Total,Dto. € Ticket,Dto. % Ticket,tipo_plato,Producto,N_factura,centro_reparto
16/04/2019,MALLORCA (✔),S1,16/04/2019 21:56,Fra. Simp.,Producto,STARTERS,1000,795.0,0.0,0.0,,,1000.0,140.0,723,795,0.0,0.0,Entrante,Entrante 7,Establ11/114,centro_1
16/04/2019,MALLORCA (✔),S1,16/04/2019 21:56,Fra. Simp.,Producto,RICE BOWL,1000,1150.0,0.0,0.0,,,1000.0,140.0,1045,1150,0.0,0.0,Arroz,Arroz 9,Establ11/114,centro_1
16/04/2019,MALLORCA (✔),S1,16/04/2019 21:56,Fra. Simp.,Producto,NOODLES,1000,1450.0,0.0,0.0,,,1000.0,140.0,1318,1450,0.0,0.0,Noodles,Noodles 8,Establ11/114,centro_1
16/04/2019,MALLORCA (✔),S1,16/04/2019 21:56,Fra. Simp.,Producto,AGUAS Y REFRESCOS,1000,295.0,0.0,0.0,,,1000.0,140.0,268,295,0.0,0.0,Bebida,Bebida 2,Establ11/114,centro_1
16/04/2019,MALLORCA (✔),S3,16/04/2019 22:22,Fra. Simp.,Producto,COMPRA,1000,1195.0,0.0,0.0,,,1000.0,140.0,1086,1195,0.0,0.0,Sopa,Sopa 10,Establ11/115,centro_1
16/04/2019,MALLORCA (✔),S3,16/04/2019 22:22,Fra. Simp.,Producto,RICE BOWL,1000,1150.0,0.0,0.0,,,1000.0,140.0,1045,1150,0.0,0.0,Arroz,Arroz 23,Establ11/115,centro_1
16/04/2019,MALLORCA (✔),S6,16/04/2019 22:29,Fra. Simp.,Producto,STARTERS,1000,795.0,0.0,0.0,,,1000.0,140.0,723,795,0.0,0.0,Entrante,Entrante 7,Establ11/116,centro_1
16/04/2019,MALLORCA (✔),S6,16/04/2019 22:29,Fra. Simp.,Producto,NOODLES,2000,1150.0,0.0,0.0,,,1000.0,140.0,2091,2300,0.0,0.0,Noodles,Noodles 12,Establ11/116,centro_1
16/04/2019,MALLORCA (✔),S4,16/04/2019 22:45,Fra. Simp.,Producto,BAOS,1000,895.0,0.0,0.0,,,1000.0,140.0,814,895,0.0,0.0,Entrante,Entrante 2,Establ11/117,centro_1
16/04/2019,MALLORCA (✔),S4,16/04/2019 22:45,Fra. Simp.,Producto,BBQ,1000,895.0,0.0,0.0,,,1000.0,140.0,814,895,0.0,0.0,Segundo Plato,Segundo Plato 9,Establ11/117,centro_1
16/04/2019,MALLORCA (✔),S4,16/04/2019 22:45,Fra. Simp.,Producto,NOODLES,1000,1150.0,0.0,0.0,,,1000.0,140.0,1045,1150,0.0,0.0,Noodles,Noodles 10,Establ11/117,centro_1
16/04/2019,MALLORCA (✔),S4,16/04/2019 22:45,Fra. Simp.,Producto,NOODLES,1000,1450.0,0.0,0.0,,,1000.0,140.0,1318,1450,0.0,0.0,Noodles,Noodles 8,Establ11/117,centro_1
16/04/2019,MALLORCA (✔),S4,16/04/2019 22:45,Fra. Simp.,Producto,EXTRAS,1000,400.0,0.0,0.0,,,1000.0,140.0,364,400,0.0,0.0,Extra,Extra 7,Establ11/117,centro_1
16/04/2019,MALLORCA (✔),S4,16/04/2019 22:45,Fra. Simp.,Producto,RICE BOWL,1000,995.0,0.0,0.0,,,1000.0,140.0,905,995,0.0,0.0,Arroz,Arroz 28,Establ11/117,centro_1
16/04/2019,MALLORCA (✔),S4,16/04/2019 22:45,Fra. Simp.,Producto,EXTRAS,1000,400.0,0.0,0.0,,,1000.0,140.0,364,400,0.0,0.0,Extra,Extra 7,Establ11/117,centro_1
16/04/2019,MALLORCA (✔),S4,16/04/2019 22:45,Fra. Simp.,Producto,STARTERS,1000,695.0,0.0,0.0,,,1000.0,140.0,632,695,0.0,0.0,Entrante,Entrante 11,Establ11/117,centro_1
16/04/2019,MALLORCA (✔),S4,16/04/2019 22:45,Fra. Simp.,Producto,Vinos y Alcoholes (Contenedor),1000,1200.0,0.0,0.0,,,1000.0,140.0,1091,1200,0.0,0.0,Bebida,Bebida 13,Establ11/117,centro_1
16/04/2019,MALLORCA (✔),S4,16/04/2019 22:45,Fra. Simp.,Producto,Vinos y Alcoholes (Contenedor),1000,1200.0,0.0,0.0,,,1000.0,140.0,1091,1200,0.0,0.0,Bebida,Bebida 13,Establ11/117,centro_1
16/04/2019,MALLORCA (✔),S4,16/04/2019 22:45,Fra. Simp.,Producto,COMPRA,1000,595.0,0.0,0.0,,,1000.0,140.0,541,595,0.0,0.0,Otros,Otros 14,Establ11/117,centro_1
16/04/2019,MALLORCA (✔),S4,16/04/2019 22:45,Fra. Simp.,Añadido,,1000,0.0,0.0,0.0,,,1000.0,140.0,000,000,0.0,0.0,Extra,Extra 1,Establ11/117,centro_1
16/04/2019,MALLORCA (✔),S1,16/04/2019 22:56,Fra. Simp.,Producto,STARTERS,1000,795.0,0.0,0.0,,,1000.0,140.0,723,795,0.0,0.0,Entrante,Entrante 10,Establ11/118,centro_1
16/04/2019,MALLORCA (✔),S1,16/04/2019 22:56,Fra. Simp.,Producto,EXTRAS,1000,400.0,0.0,0.0,,,1000.0,140.0,364,400,0.0,0.0,Segundo Plato,Segundo Plato 8,Establ11/118,centro_1
16/04/2019,MALLORCA (✔),S1,16/04/2019 22:56,Fra. Simp.,Producto,RICE BOWL,1000,995.0,0.0,0.0,,,1000.0,140.0,905,995,0.0,0.0,Arroz,Arroz 28,Establ11/118,centro_1
16/04/2019,MALLORCA (✔),S10,16/04/2019 23:55,Fra. Simp.,Producto,STARTERS,1000,795.0,0.0,0.0,,,1000.0,140.0,723,795,0.0,0.0,Entrante,Entrante 9,Establ11/119,centro_1
16/04/2019,MALLORCA (✔),S10,16/04/2019 23:55,Fra. Simp.,Producto,STARTERS,1000,695.0,0.0,0.0,,,1000.0,140.0,632,695,0.0,0.0,Entrante,Entrante 11,Establ11/119,centro_1
16/04/2019,MALLORCA (✔),S10,16/04/2019 23:55,Fra. Simp.,Producto,STARTERS,1000,795.0,0.0,0.0,,,1000.0,140.0,723,795,0.0,0.0,Entrante,Entrante 7,Establ11/119,centro_1
16/04/2019,MALLORCA (✔),S10,16/04/2019 23:55,Fra. Simp.,Producto,EXTRAS,1000,400.0,0.0,0.0,,,1000.0,140.0,364,400,0.0,0.0,Segundo Plato,Segundo Plato 8,Establ11/119,centro_1
16/04/2019,MALLORCA (✔),S10,16/04/2019 23:55,Fra. Simp.,Producto,RICE BOWL,1000,995.0,0.0,0.0,,,1000.0,140.0,905,995,0.0,0.0,Arroz,Arroz 28,Establ11/119,centro_1
16/04/2019,MALLORCA (✔),S10,16/04/2019 23:55,Fra. Simp.,Producto,NOODLES,1000,1150.0,0.0,0.0,,,1000.0,140.0,1045,1150,0.0,0.0,Noodles,Noodles 10,Establ11/119,centro_1
16/04/2019,MALLORCA (✔),S10,16/04/2019 23:55,Fra. Simp.,Producto,COMPRA,1000,995.0,0.0,0.0,,,1000.0,140.0,905,995,0.0,0.0,Ensalada,Ensalada 1,Establ11/119,centro_1
16/04/2019,MALLORCA (✔),S10,16/04/2019 23:55,Fra. Simp.,Producto,BBQ,1000,1695.0,0.0,0.0,,,1000.0,140.0,1541,1695,0.0,0.0,Segundo Plato,Segundo Plato 22,Establ11/119,centro_1
16/04/2019,MALLORCA (✔),S8,17/04/2019 00:35,Fra. Simp.,Producto,COMPRA,1000,995.0,0.0,0.0,,,1000.0,140.0,905,995,0.0,0.0,Ensalada,Ensalada 1,Establ11/120,centro_1
16/04/2019,MALLORCA (✔),S8,17/04/2019 00:35,Fra. Simp.,Producto,NOODLES,1000,1150.0,0.0,0.0,,,1000.0,140.0,1045,1150,0.0,0.0,Noodles,Noodles 10,Establ11/120,centro_1
16/04/2019,MALLORCA (✔),S8,17/04/2019 00:35,Fra. Simp.,Producto,STARTERS,1000,695.0,0.0,0.0,,,1000.0,140.0,632,695,0.0,0.0,Entrante,Entrante 11,Establ11/120,centro_1
16/04/2019,MALLORCA (✔),S1,17/04/2019 00:44,Fra. Simp.,Producto,CERVEZAS,1000,350.0,0.0,0.0,,,1000.0,140.0,318,350,0.0,10000.0,Bebida,Bebida 113,Establ11/121,centro_1
16/04/2019,MALLORCA (✔),S1,17/04/2019 00:44,Fra. Simp.,Producto,Vinos y Alcoholes (Contenedor),9000,300.0,0.0,0.0,,,1000.0,140.0,2455,2700,0.0,10000.0,Bebida,Bebida 48,Establ11/121,centro_1
16/04/2019,MALLORCA (✔),S1,17/04/2019 00:44,Fra. Simp.,Producto,CERVEZAS,2000,400.0,0.0,0.0,,,1000.0,140.0,727,800,0.0,10000.0,Bebida,Bebida 92,Establ11/121,centro_1
16/04/2019,MALLORCA (✔),S1,17/04/2019 00:44,Fra. Simp.,Producto,AGUAS Y REFRESCOS,2000,300.0,0.0,0.0,,,1000.0,140.0,545,600,0.0,10000.0,Bebida,Bebida 105,Establ11/121,centro_1
16/04/2019,MALLORCA (✔),S1,17/04/2019 00:44,Fra. Simp.,Producto,CERVEZAS,10000,300.0,0.0,0.0,,,1000.0,140.0,2727,3000,0.0,10000.0,Bebida,Bebida 91,Establ11/121,centro_1
16/04/2019,MALLORCA (✔),S1,17/04/2019 00:44,Fra. Simp.,Producto,COMPRA,2000,300.0,0.0,0.0,,,1000.0,140.0,545,600,0.0,10000.0,Bebida,Bebida 59,Establ11/121,centro_1
16/04/2019,MALLORCA (✔),S1,17/04/2019 00:44,Fra. Simp.,Producto,AGUAS Y REFRESCOS,5000,295.0,0.0,0.0,,,1000.0,140.0,1341,1475,0.0,10000.0,Bebida,Bebida 2,Establ11/121,centro_1
16/04/2019,MALLORCA (✔),S1,17/04/2019 00:44,Fra. Simp.,Producto,DESSERT,1000,595.0,0.0,0.0,,,1000.0,140.0,541,595,0.0,10000.0,Postre,Postre 7,Establ11/121,centro_1
16/04/2019,MALLORCA (✔),S1,17/04/2019 00:44,Fra. Simp.,Producto,COMPRA,1000,595.0,0.0,0.0,,,1000.0,140.0,541,595,0.0,10000.0,Otros,Otros 14,Establ11/121,centro_1
16/04/2019,MALLORCA (✔),S1,17/04/2019 00:44,Fra. Simp.,Producto,COMPRA,1000,595.0,0.0,0.0,,,1000.0,140.0,541,595,0.0,10000.0,Otros,Otros 14,Establ11/121,centro_1
16/04/2019,MALLORCA (✔),S1,17/04/2019 00:44,Fra. Simp.,Producto,CAFÉ E INFUSIONES,3000,195.0,0.0,0.0,,,1000.0,140.0,532,585,0.0,10000.0,Bebida,Bebida 24,Establ11/121,centro_1
16/04/2019,MALLORCA (✔),S1,17/04/2019 00:44,Fra. Simp.,Producto,CAFÉ E INFUSIONES,1000,195.0,0.0,0.0,,,1000.0,140.0,177,195,0.0,10000.0,Bebida,Bebida 26,Establ11/121,centro_1
