Fecha,Local,Ubicación,Fecha Creación,Tipo Doc.,Tipo Línea,Familia,Cantidad,Precio,Dto. %,Dto. €,Cód. Promoción,Cód. Descuento,Impuesto %,Recargo %,Base,Total,Dto. € Ticket,Dto. % Ticket,tipo_plato,Producto,N_factura,centro_reparto
02/01/2019,PARACUELLOS (✔),JE1,02/01/2019 13:52,Fra. Simp.,Producto,NOODLES,1000,995.0,0.0,0.0,,,1000.0,140.0,905,995,0.0,0.0,Noodles,Noodles 12,Establ14/149,centro_4
02/01/2019,PARACUELLOS (✔),JE1,02/01/2019 13:52,Fra. Simp.,Producto,BAOS,2000,795.0,0.0,0.0,,,1000.0,140.0,1445,1590,0.0,0.0,Entrante,Entrante 2,Establ14/149,centro_4
02/01/2019,PARACUELLOS (✔),JE1,02/01/2019 13:52,Fra. Simp.,Producto,RICE BOWL,1000,995.0,0.0,0.0,,,1000.0,140.0,905,995,0.0,0.0,Arroz,Arroz 21,Establ14/149,centro_4
02/01/2019,PARACUELLOS (✔),JE1,02/01/2019 13:52,Fra. Simp.,Producto,COMPRA,1000,75.0,0.0,0.0,,,1000.0,140.0,068,075,0.0,0.0,Extra,Extra 17,Establ14/149,centro_4
02/01/2019,PARACUELLOS (✔),JE1,02/01/2019 14:07,Fra. Simp.,Producto,AGUAS Y REFRESCOS,2000,150.0,0.0,0.0,,,1000.0,140.0,273,300,0.0,0.0,Bebida,Bebida 45,Establ14/150,centro_4
02/01/2019,PARACUELLOS (✔),JE1,02/01/2019 14:07,Fra. Simp.,Producto,BAOS,1000,795.0,0.0,0.0,,,1000.0,140.0,723,795,0.0,0.0,Entrante,Entrante 2,Establ14/150,centro_4
02/01/2019,PARACUELLOS (✔),JE1,02/01/2019 14:07,Fra. Simp.,Producto,THAI CURRY'S,1000,1150.0,0.0,0.0,,,1000.0,140.0,1045,1150,0.0,0.0,Thai,Thai 6,Establ14/150,centro_4
02/01/2019,PARACUELLOS (✔),JE1,02/01/2019 14:07,Fra. Simp.,Producto,COMPRA,1000,300.0,0.0,0.0,,,1000.0,140.0,273,300,0.0,0.0,Arroz,Arroz 4,Establ14/150,centro_4
02/01/2019,PARACUELLOS (✔),JE1,02/01/2019 20:31,Fra. Simp.,Producto,NOODLES,1000,850.0,0.0,0.0,,,1000.0,140.0,773,850,0.0,0.0,Noodles,Noodles 16,Establ14/151,centro_4
02/01/2019,PARACUELLOS (✔),JE1,02/01/2019 20:31,Fra. Simp.,Producto,AGUAS Y REFRESCOS,1000,150.0,0.0,0.0,,,1000.0,140.0,136,150,0.0,0.0,Bebida,Bebida 105,Establ14/151,centro_4
02/01/2019,PARACUELLOS (✔),JE1,02/01/2019 20:31,Fra. Simp.,Producto,COMPRA,1000,280.0,0.0,0.0,,,1000.0,140.0,255,280,0.0,0.0,Extra,Extra 18,Establ14/151,centro_4
02/01/2019,PARACUELLOS (✔),JE1,02/01/2019 20:31,Fra. Simp.,Producto,RICE BOWL,1000,795.0,0.0,0.0,,,1000.0,140.0,723,795,0.0,0.0,Arroz,Arroz 28,Establ14/151,centro_4
02/01/2019,PARACUELLOS (✔),JE1,02/01/2019 21:13,Fra. Simp.,Producto,NOODLES,1000,995.0,0.0,0.0,,,1000.0,140.0,905,995,0.0,0.0,Noodles,Noodles 5,Establ14/152,centro_4
02/01/2019,PARACUELLOS (✔),JE1,02/01/2019 21:13,Fra. Simp.,Producto,BAOS,2000,795.0,0.0,0.0,,,1000.0,140.0,1445,1590,0.0,0.0,Entrante,Entrante 2,Establ14/152,centro_4
02/01/2019,PARACUELLOS (✔),JE1,02/01/2019 21:13,Fra. Simp.,Producto,BBQ,1000,1425.0,0.0,0.0,,,1000.0,140.0,1295,1425,0.0,0.0,Segundo Plato,Segundo Plato 20,Establ14/152,centro_4
02/01/2019,PARACUELLOS (✔),JE1,02/01/2019 21:13,Fra. Simp.,Producto,RICE BOWL,1000,995.0,0.0,0.0,,,1000.0,140.0,905,995,0.0,0.0,Arroz,Arroz 21,Establ14/152,centro_4
02/01/2019,PARACUELLOS (✔),JE1,02/01/2019 21:13,Fra. Simp.,Producto,RICE BOWL,1000,795.0,0.0,0.0,,,1000.0,140.0,723,795,0.0,0.0,Arroz,Arroz 28,Establ14/152,centro_4
02/01/2019,PARACUELLOS (✔),JE1,02/01/2019 21:42,Fra. Simp.,Producto,RICE BOWL,1000,995.0,0.0,0.0,,,1000.0,140.0,905,995,0.0,0.0,Arroz,Arroz 9,Establ14/153,centro_4
02/01/2019,PARACUELLOS (✔),JE1,02/01/2019 21:42,Fra. Simp.,Producto,COMPRA,1000,300.0,0.0,0.0,,,1000.0,140.0,273,300,0.0,0.0,Arroz,Arroz 4,Establ14/153,centro_4
02/01/2019,PARACUELLOS (✔),JE1,02/01/2019 21:42,Fra. Simp.,Producto,RICE BOWL,1000,795.0,0.0,0.0,,,1000.0,140.0,723,795,0.0,0.0,Arroz,Arroz 28,Establ14/153,centro_4
02/01/2019,PARACUELLOS (✔),JE1,02/01/2019 21:42,Fra. Simp.,Producto,COMPRA,1000,895.0,0.0,0.0,,,1000.0,140.0,814,895,0.0,0.0,Ensalada,Ensalada 1,Establ14/153,centro_4
02/01/2019,PARACUELLOS (✔),JE4,02/01/2019 21:42,Fra. Simp.,Producto,BBQ,1000,1250.0,0.0,0.0,,,1000.0,140.0,1136,1250,0.0,0.0,Segundo Plato,Segundo Plato 3,Establ14/154,centro_4
02/01/2019,PARACUELLOS (✔),JE4,02/01/2019 21:42,Fra. Simp.,Producto,RICE BOWL,1000,795.0,0.0,0.0,,,1000.0,140.0,723,795,0.0,0.0,Arroz,Arroz 28,Establ14/154,centro_4
02/01/2019,PARACUELLOS (✔),JE4,02/01/2019 21:42,Fra. Simp.,Producto,EXTRAS,1000,300.0,0.0,0.0,,,1000.0,140.0,273,300,0.0,0.0,Segundo Plato,Segundo Plato 8,Establ14/154,centro_4
02/01/2019,PARACUELLOS (✔),JE9,02/01/2019 22:00,Fra. Simp.,Producto,NOODLES,1000,995.0,0.0,0.0,,,1000.0,140.0,905,995,0.0,0.0,Noodles,Noodles 12,Establ14/155,centro_4
02/01/2019,PARACUELLOS (✔),JE9,02/01/2019 22:00,Fra. Simp.,Producto,CERVEZAS,2000,250.0,0.0,0.0,,,1000.0,140.0,455,500,0.0,0.0,Bebida,Bebida 113,Establ14/155,centro_4
02/01/2019,PARACUELLOS (✔),JE9,02/01/2019 22:00,Fra. Simp.,Producto,BBQ,1000,795.0,0.0,0.0,,,1000.0,140.0,723,795,0.0,0.0,Segundo Plato,Segundo Plato 9,Establ14/155,centro_4
02/01/2019,PARACUELLOS (✔),JE9,02/01/2019 22:00,Fra. Simp.,Producto,THAI CURRY'S,1000,1150.0,0.0,0.0,,,1000.0,140.0,1045,1150,0.0,0.0,Thai,Thai 3,Establ14/155,centro_4
02/01/2019,PARACUELLOS (✔),JE9,02/01/2019 22:00,Fra. Simp.,Producto,COMPRA,1000,300.0,0.0,0.0,,,1000.0,140.0,273,300,0.0,0.0,Arroz,Arroz 2,Establ14/155,centro_4
03/01/2019,PARACUELLOS (✔),JE1,03/01/2019 14:14,Fra. Simp.,Producto,NOODLES,1000,995.0,0.0,0.0,,,1000.0,140.0,905,995,0.0,0.0,Noodles,Noodles 10,Establ14/156,centro_4
03/01/2019,PARACUELLOS (✔),JE1,03/01/2019 14:14,Fra. Simp.,Producto,BAOS,1000,795.0,0.0,0.0,,,1000.0,140.0,723,795,0.0,0.0,Entrante,Entrante 2,Establ14/156,centro_4
03/01/2019,PARACUELLOS (✔),JE1,03/01/2019 14:14,Fra. Simp.,Producto,RICE BOWL,1000,995.0,0.0,0.0,,,1000.0,140.0,905,995,0.0,0.0,Arroz,Arroz 7,Establ14/156,centro_4
03/01/2019,PARACUELLOS (✔),JE1,03/01/2019 14:14,Fra. Simp.,Producto,COMPRA,1000,75.0,0.0,0.0,,,1000.0,140.0,068,075,0.0,0.0,Extra,Extra 17,Establ14/156,centro_4
04/01/2019,PARACUELLOS (✔),JE1,04/01/2019 14:14,Fra. Simp.,Producto,NOODLES,1000,995.0,0.0,0.0,,,1000.0,140.0,905,995,0.0,0.0,Noodles,Noodles 12,Establ14/157,centro_4
04/01/2019,PARACUELLOS (✔),JE1,04/01/2019 14:14,Fra. Simp.,Producto,BAOS,1000,795.0,0.0,0.0,,,1000.0,140.0,723,795,0.0,0.0,Entrante,Entrante 2,Establ14/157,centro_4
04/01/2019,PARACUELLOS (✔),JE1,04/01/2019 14:14,Fra. Simp.,Producto,RICE BOWL,1000,795.0,0.0,0.0,,,1000.0,140.0,723,795,0.0,0.0,Arroz,Arroz 28,Establ14/157,centro_4
04/01/2019,PARACUELLOS (✔),JE1,04/01/2019 20:37,Fra. Simp.,Producto,NOODLES,1000,995.0,0.0,0.0,,,1000.0,140.0,905,995,0.0,0.0,Noodles,Noodles 12,Establ14/158,centro_4
04/01/2019,PARACUELLOS (✔),JE1,04/01/2019 20:37,Fra. Simp.,Producto,SOUP,1000,1350.0,0.0,0.0,,,1000.0,140.0,1227,1350,0.0,0.0,Sopa,Sopa 3,Establ14/158,centro_4
